               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.032332,            0.042502,           0.0019733,             0.97545,              0.9454,             0.97741,             0.68857,            0.024821,            0.026158,           0.0011374,            0.007096,            0.007096,            0.007096
                  90,            0.031605,            0.038864,           0.0018158,             0.97266,             0.94555,             0.97764,             0.67953,            0.025003,            0.026277,            0.001187,            0.007063,            0.007063,            0.007063
                  91,            0.031464,            0.041836,           0.0019223,             0.97139,               0.944,             0.97558,             0.67893,            0.024988,            0.026302,           0.0011636,             0.00703,             0.00703,             0.00703
                  92,            0.031474,            0.041781,           0.0018826,              0.9718,             0.94592,             0.97696,             0.68122,            0.024922,            0.026303,           0.0011566,            0.006997,            0.006997,            0.006997
                  93,             0.03144,            0.041797,           0.0019067,             0.97133,             0.94824,             0.97884,              0.6866,            0.024722,            0.026125,           0.0011459,            0.006964,            0.006964,            0.006964
                  94,            0.031382,            0.042286,           0.0019048,             0.97155,             0.94923,             0.97936,             0.68832,            0.024641,            0.026026,           0.0011384,            0.006931,            0.006931,            0.006931
                  95,            0.031753,            0.042411,            0.001912,             0.97055,             0.94675,             0.97639,             0.68641,            0.024664,            0.025937,           0.0011567,            0.006898,            0.006898,            0.006898
                  96,             0.03168,            0.042892,           0.0019338,             0.97469,             0.94332,             0.97784,             0.68863,            0.024534,            0.026004,           0.0011384,            0.006865,            0.006865,            0.006865
                  97,            0.031536,            0.042292,           0.0019197,             0.97266,             0.94364,             0.97826,             0.69008,            0.024481,            0.025889,           0.0011288,            0.006832,            0.006832,            0.006832
                  98,            0.032421,            0.044145,           0.0020011,             0.96815,              0.9472,             0.97774,              0.6911,            0.024455,            0.025917,           0.0011102,            0.006799,            0.006799,            0.006799
                  99,            0.032546,            0.043838,           0.0020492,             0.96975,             0.94815,             0.97868,             0.69397,            0.024205,            0.025737,           0.0010988,            0.006766,            0.006766,            0.006766
                 100,            0.032411,            0.044078,           0.0020452,             0.97249,             0.94975,             0.98011,             0.69867,            0.024146,            0.025648,           0.0010967,            0.006733,            0.006733,            0.006733
                 101,            0.032115,            0.043895,           0.0020054,             0.97102,             0.95027,             0.97996,             0.69806,            0.024042,            0.025585,           0.0010933,              0.0067,              0.0067,              0.0067
                 102,            0.032422,            0.044063,           0.0020225,              0.9733,             0.95278,             0.98169,             0.70135,            0.023914,            0.025523,           0.0010843,            0.006667,            0.006667,            0.006667
                 103,            0.032041,            0.044054,            0.001947,              0.9751,             0.95105,             0.98162,             0.70301,            0.023821,            0.025435,           0.0010698,            0.006634,            0.006634,            0.006634
                 104,            0.032273,            0.044048,           0.0020424,             0.97526,             0.95333,             0.98151,             0.70348,            0.023774,            0.025469,           0.0010796,            0.006601,            0.006601,            0.006601
                 105,            0.032089,             0.04342,           0.0020085,             0.97572,             0.95182,             0.98199,              0.7065,            0.023577,            0.025336,            0.001072,            0.006568,            0.006568,            0.006568
                 106,            0.030581,            0.039932,           0.0018265,             0.97623,              0.9548,             0.98169,             0.70806,            0.023419,             0.02507,           0.0010717,            0.006535,            0.006535,            0.006535
                 107,            0.030234,            0.040102,           0.0018111,             0.97589,             0.95433,             0.98185,             0.70833,            0.023409,            0.024987,           0.0010758,            0.006502,            0.006502,            0.006502
                 108,            0.030261,             0.04035,            0.001804,             0.97577,             0.95617,             0.98197,             0.70789,            0.023364,            0.024941,           0.0010807,            0.006469,            0.006469,            0.006469
